filename,r,c,x_min,y_min,x_max,y_max,width,height
cell_r0_c0.png,0,0,1,1,18,118,17,117
cell_r0_c1.png,0,1,17,1,230,119,213,118
cell_r0_c2.png,0,2,229,1,280,119,51,118
cell_r0_c3.png,0,3,280,1,324,119,44,118
cell_r0_c4.png,0,4,324,1,1050,24,726,23
cell_r0_c0.png,0,0,1,1,18,118,17,117
cell_r0_c1.png,0,1,17,1,230,119,213,118
cell_r0_c2.png,0,2,229,1,280,119,51,118
cell_r0_c3.png,0,3,280,1,324,119,44,118
cell_r0_c4.png,0,4,324,1,1050,24,726,23
cell_r0_c0.png,0,0,1,1,18,118,17,117
cell_r0_c1.png,0,1,17,1,230,119,213,118
cell_r0_c2.png,0,2,229,1,280,119,51,118
cell_r0_c3.png,0,3,280,1,324,119,44,118
cell_r0_c4.png,0,4,324,1,1050,24,726,23
cell_r0_c0.png,0,0,1,1,18,118,17,117
cell_r0_c1.png,0,1,17,1,230,119,213,118
cell_r0_c2.png,0,2,229,1,280,119,51,118
cell_r0_c3.png,0,3,280,1,324,119,44,118
cell_r0_c4.png,0,4,324,1,1050,24,726,23
cell_r0_c0.png,0,0,1,1,18,118,17,117
cell_r0_c1.png,0,1,17,1,230,119,213,118
cell_r0_c2.png,0,2,229,1,280,119,51,118
cell_r0_c3.png,0,3,280,1,324,119,44,118
cell_r0_c4.png,0,4,324,1,1050,24,726,23
cell_r1_c0.png,1,0,324,24,503,36,179,12
cell_r1_c1.png,1,1,502,24,698,36,196,12
cell_r1_c2.png,1,2,698,24,886,36,188,12
cell_r1_c3.png,1,3,886,24,919,119,33,95
cell_r1_c4.png,1,4,918,24,985,120,67,96
cell_r1_c5.png,1,5,984,24,1050,120,66,96
cell_r1_c0.png,1,0,324,24,503,36,179,12
cell_r1_c1.png,1,1,502,24,698,36,196,12
cell_r1_c2.png,1,2,698,24,886,36,188,12
cell_r1_c3.png,1,3,886,24,919,119,33,95
cell_r1_c4.png,1,4,918,24,985,120,67,96
cell_r1_c5.png,1,5,984,24,1050,120,66,96
cell_r1_c0.png,1,0,324,24,503,36,179,12
cell_r1_c1.png,1,1,502,24,698,36,196,12
cell_r1_c2.png,1,2,698,24,886,36,188,12
cell_r1_c3.png,1,3,886,24,919,119,33,95
cell_r1_c4.png,1,4,918,24,985,120,67,96
cell_r1_c5.png,1,5,984,24,1050,120,66,96
cell_r1_c0.png,1,0,324,24,503,36,179,12
cell_r1_c1.png,1,1,502,24,698,36,196,12
cell_r1_c2.png,1,2,698,24,886,36,188,12
cell_r1_c3.png,1,3,886,24,919,119,33,95
cell_r1_c4.png,1,4,918,24,985,120,67,96
cell_r1_c5.png,1,5,984,24,1050,120,66,96
cell_r1_c0.png,1,0,324,24,503,36,179,12
cell_r1_c1.png,1,1,502,24,698,36,196,12
cell_r1_c2.png,1,2,698,24,886,36,188,12
cell_r1_c3.png,1,3,886,24,919,119,33,95
cell_r1_c4.png,1,4,918,24,985,120,67,96
cell_r1_c5.png,1,5,984,24,1050,120,66,96
cell_r1_c0.png,1,0,324,24,503,36,179,12
cell_r1_c1.png,1,1,502,24,698,36,196,12
cell_r1_c2.png,1,2,698,24,886,36,188,12
cell_r1_c3.png,1,3,886,24,919,119,33,95
cell_r1_c4.png,1,4,918,24,985,120,67,96
cell_r1_c5.png,1,5,984,24,1050,120,66,96
cell_r2_c0.png,2,0,324,36,360,119,36,83
cell_r2_c1.png,2,1,359,36,391,119,32,83
cell_r2_c2.png,2,2,391,36,446,119,55,83
cell_r2_c3.png,2,3,446,36,502,119,56,83
cell_r2_c4.png,2,4,502,36,538,119,36,83
cell_r2_c5.png,2,5,538,36,570,119,32,83
cell_r2_c6.png,2,6,570,36,626,120,56,84
cell_r2_c7.png,2,7,626,36,698,120,72,84
cell_r2_c8.png,2,8,698,36,734,120,36,84
cell_r2_c9.png,2,9,734,36,766,119,32,83
cell_r2_c10.png,2,10,766,36,822,120,56,84
cell_r2_c11.png,2,11,821,36,887,120,66,84
cell_r2_c0.png,2,0,324,36,360,119,36,83
cell_r2_c1.png,2,1,359,36,391,119,32,83
cell_r2_c2.png,2,2,391,36,446,119,55,83
cell_r2_c3.png,2,3,446,36,502,119,56,83
cell_r2_c4.png,2,4,502,36,538,119,36,83
cell_r2_c5.png,2,5,538,36,570,119,32,83
