filename, prediction
cell_r14_c15_blob_1_word_1_char_00_2.png,0,0.722
cell_r14_c15_blob_1_word_1_char_01.png,2,0.9998
cell_r14_c15_blob_1_word_2_char_00.png,3,0.9302
cell_r14_c15_blob_1_word_2_char_01.png,5,0.7875
cell_r14_c15_blob_1_word_2_char_02.png,2,0.7834
cell_r14_c15_blob_1_word_2_char_03.png,1,1.0
cell_r14_c15_blob_1_word_3_char_00.png,2,1.0
cell_r14_c16_blob_1_word_1_char_00.png,5,0.9927
cell_r14_c17_blob_1_word_1_char_00.png,1,0.7014
cell_r14_c17_blob_1_word_1_char_01.png,2,0.9578
cell_r14_c17_blob_1_word_1_char_02.png,4,0.9464
