filename,predicted_class,confidence
cell_r0_c1_blob_4_blob_1_word_1_char_00.png,6,0.9999
cell_r0_c1_blob_4_blob_1_word_3_char_00.png,2,0.9992
cell_r0_c1_blob_4_blob_1_word_3_char_01.png,3,1.0
cell_r0_c1_blob_4_blob_1_word_4_char_00.png,6,0.985
cell_r0_c1_blob_4_blob_1_word_5_char_01.png,1,1.0
cell_r0_c4_blob_1_word_14_char_14.png,9,0.7335
cell_r0_c4_blob_1_word_18_char_02.png,1,0.9912
cell_r0_c4_blob_1_word_1_char_01.png,9,0.7942
cell_r0_c4_blob_1_word_22_char_11.png,7,0.4775
cell_r0_c4_blob_1_word_24_char_00.png,2,0.9905
cell_r0_c4_blob_1_word_25_char_02.png,4,0.5132
cell_r0_c4_blob_1_word_3_char_02.png,6,0.5694
cell_r10_c0_blob_1_word_1_char_00.png,3,0.9977
cell_r10_c10_blob_1_word_1_char_01.png,2,0.9828
cell_r10_c10_blob_1_word_2_char_01.png,8,0.7282
cell_r10_c10_blob_1_word_2_char_02.png,3,0.9439
cell_r10_c11_blob_1_word_2_char_01.png,7,0.6495
cell_r10_c11_blob_1_word_2_char_03.png,1,1.0
cell_r10_c11_blob_1_word_2_char_04.png,6,0.729
cell_r10_c11_blob_1_word_2_char_05.png,2,0.7817
cell_r10_c11_blob_1_word_2_char_07.png,3,0.9304
cell_r10_c11_blob_1_word_2_char_08.png,0,0.9975
cell_r10_c14_blob_1_word_1_char_00.png,2,0.4054
cell_r10_c14_blob_1_word_1_char_01.png,2,0.9291
cell_r10_c14_blob_1_word_2_char_01.png,3,0.9851
cell_r10_c14_blob_1_word_3_char_01.png,3,0.9847
cell_r10_c14_blob_1_word_3_char_02.png,9,1.0
cell_r10_c15_blob_1_word_2_char_01.png,6,0.907
cell_r10_c15_blob_1_word_2_char_03.png,2,0.9853
cell_r10_c15_blob_1_word_3_char_01.png,5,0.9808
cell_r10_c15_blob_1_word_3_char_02.png,2,0.9994
cell_r10_c15_blob_1_word_3_char_04.png,6,0.9809
cell_r10_c17_blob_1_word_1_char_00.png,3,0.785
cell_r10_c17_blob_1_word_3_char_01.png,2,0.9993
cell_r10_c17_blob_1_word_4_char_00.png,6,0.6729
cell_r10_c17_blob_1_word_4_char_01.png,8,0.8396
cell_r10_c18_blob_1_word_2_char_00.png,6,0.9999
cell_r10_c18_blob_1_word_2_char_01.png,4,0.9966
cell_r10_c18_blob_1_word_2_char_02.png,3,0.672
cell_r10_c18_blob_1_word_3_char_01.png,8,0.87
cell_r10_c18_blob_1_word_3_char_02.png,2,0.9978
cell_r10_c18_blob_1_word_4_char_00.png,5,0.9908
cell_r10_c18_blob_1_word_4_char_01.png,1,0.9943
cell_r10_c6_blob_1_word_2_char_00.png,6,0.7116
cell_r10_c6_blob_1_word_2_char_02.png,4,0.9611
cell_r10_c6_blob_1_word_2_char_03.png,3,0.9934
cell_r10_c6_blob_1_word_2_char_04.png,2,0.788
cell_r10_c6_blob_1_word_2_char_05.png,8,0.504
cell_r10_c6_blob_1_word_2_char_06.png,2,0.9908
cell_r11_c0_blob_1_word_1_char_01.png,2,1.0
cell_r11_c10_blob_1_word_1_char_00.png,1,0.8281
cell_r11_c14_blob_1_word_1_char_00.png,3,0.9984
cell_r11_c14_blob_1_word_2_char_00.png,7,0.8252
cell_r11_c14_blob_1_word_2_char_01.png,3,1.0
cell_r11_c14_blob_1_word_3_char_00.png,9,0.7619
cell_r11_c15_blob_1_word_1_char_00.png,3,0.993
cell_r11_c15_blob_1_word_4_char_01.png,7,0.9594
cell_r11_c17_blob_1_word_1_char_00.png,7,0.6474
cell_r11_c17_blob_1_word_2_char_00.png,6,0.5743
cell_r11_c17_blob_1_word_3_char_00.png,3,0.9793
cell_r11_c17_blob_1_word_4_char_00.png,2,0.9984
cell_r11_c17_blob_1_word_4_char_01.png,9,0.932
cell_r11_c17_blob_1_word_4_char_04.png,8,0.9896
cell_r11_c18_blob_1_word_1_char_00.png,0,0.9109
cell_r11_c18_blob_1_word_2_char_01.png,2,0.9954
cell_r11_c18_blob_1_word_4_char_02.png,0,0.9848
cell_r11_c6_blob_1_word_1_char_00.png,5,0.9413
cell_r11_c6_blob_1_word_2_char_00.png,2,0.9082
cell_r11_c6_blob_1_word_2_char_01.png,0,0.9995
cell_r11_c6_blob_1_word_2_char_02.png,2,0.9948
cell_r11_c6_blob_1_word_3_char_00.png,1,0.966
cell_r11_c7_blob_1_word_1_char_00.png,3,0.9986
cell_r11_c7_blob_1_word_2_char_00.png,7,0.8809
cell_r11_c7_blob_1_word_2_char_02.png,2,0.9883
cell_r11_c7_blob_1_word_3_char_01.png,3,0.9998
cell_r11_c7_blob_1_word_3_char_02.png,3,0.8681
cell_r12_c1_blob_2_word_3_char_02.png,2,0.9953
cell_r12_c2_blob_1_word_1_char_00.png,0,0.9186
