token,pos,type,example
ник,noun,derivational,счетник
чик,noun,derivational,счетчик
щик,noun,derivational,счетщик
ость,noun,derivational,счетость
ство,noun,derivational,счетство
ение,noun,derivational,счетение
ание,noun,derivational,счетание
изм,noun,derivational,счетизм
ист,noun,derivational,счетист
ция,noun,derivational,счетция
атор,noun,derivational,счетатор
тель,noun,derivational,счеттель
ок,noun,derivational,счеток
ек,noun,derivational,счетек
ик,noun,derivational,счетик
ица,noun,derivational,счетица
арь,noun,derivational,счетарь
арий,noun,derivational,счетарий
ба,noun,derivational,счетба
ина,noun,derivational,счетина
ота,noun,derivational,счетота
мость,noun,derivational,счетмость
ун,noun,derivational,счетун
енье,noun,derivational,счетенье
ье,noun,derivational,счетье
ище,noun,derivational,счетище
ушка,noun,derivational,счетушка
онька,noun,derivational,счетонька
ышко,noun,derivational,счетышко
ицa,noun,derivational,счетицa
ый,adj,derivational,банковый
ий,adj,derivational,банковий
ой,adj,derivational,банковой
ский,adj,derivational,банковский
ческий,adj,derivational,банковческий
ический,adj,derivational,банковический
ный,adj,derivational,банковный
овой,adj,derivational,банкововой
евой,adj,derivational,банковевой
оватый,adj,derivational,банкововатый
чатый,adj,derivational,банковчатый
ливый,adj,derivational,банковливый
ной,adj,derivational,банковной
истый,adj,derivational,банковистый
ательный,adj,derivational,банковательный
ительный,adj,derivational,банковительный
оват,adj,derivational,банкововат
овский,adj,derivational,банкововский
евский,adj,derivational,банковевский
ичный,adj,derivational,банковичный
овый,adj,derivational,банкововый
истический,adj,derivational,банковистический
анский,adj,derivational,банкованский
янский,adj,derivational,банковянский
ущий,participle,derivational,отправлущий
ющий,participle,derivational,отправлющий
вший,participle,derivational,отправлвший
ший,participle,derivational,отправлший
нный,participle,derivational,отправлнный
енный,participle,derivational,отправленный
анный,participle,derivational,отправланный
тый,participle,derivational,отправлтый
имый,participle,derivational,отправлимый
омый,participle,derivational,отправломый
аемый,participle,derivational,отправлаемый
ённый,participle,derivational,отправлённый
нувший,participle,derivational,отправлнувший
авший,participle,derivational,отправлавший
явший,participle,derivational,отправлявший
о,adv,derivational,быстро
е,adv,derivational,быстре
ски,adv,derivational,быстрски
скии,adv,derivational,быстрскии
ом,adv,derivational,быстром
у,adv,derivational,быстру
ясь,adv,derivational,быстрясь
но,adv,derivational,быстрно
енно,adv,derivational,быстренно
ически,adv,derivational,быстрически
ьно,adv,derivational,быстрьно
ливо,adv,derivational,быстрливо
ато,adv,derivational,быстрато
яно,adv,derivational,быстряно
ьи,adv,derivational,быстрьи
ьми,adv,derivational,быстрьми
а,noun,inflectional,накладна
я,noun,inflectional,накладня
ы,noun,inflectional,накладны
и,noun,inflectional,накладни
ов,noun,inflectional,накладнов
ев,noun,inflectional,накладнев
ам,noun,inflectional,накладнам
ами,noun,inflectional,накладнами
ах,noun,inflectional,накладнах
ая,adj,inflectional,банковская
яя,adj,inflectional,банковскяя
ое,adj,inflectional,банковское
ее,adj,inflectional,банковскее
ые,adj,inflectional,банковскые
ие,adj,inflectional,банковские
ого,adj,inflectional,банковского
ых,adj,inflectional,банковскых
ому,adj,inflectional,банковскому
ым,adj,inflectional,банковскым
ыйый,adj,derived_inflected,банковыйый
ыйий,adj,derived_inflected,банковыйий
ыйой,adj,derived_inflected,банковыйой
ыйая,adj,derived_inflected,банковыйая
ыйяя,adj,derived_inflected,банковыйяя
ыйое,adj,derived_inflected,банковыйое
ийый,adj,derived_inflected,банковийый
ийий,adj,derived_inflected,банковийий
ийой,adj,derived_inflected,банковийой
ийая,adj,derived_inflected,банковийая
ийяя,adj,derived_inflected,банковийяя
ийое,adj,derived_inflected,банковийое
ойый,adj,derived_inflected,банковойый
ойий,adj,derived_inflected,банковойий
ойой,adj,derived_inflected,банковойой
ойая,adj,derived_inflected,банковойая
ойяя,adj,derived_inflected,банковойяя
ойое,adj,derived_inflected,банковойое
скийый,adj,derived_inflected,банковскийый
скийий,adj,derived_inflected,банковскийий
скийой,adj,derived_inflected,банковскийой
скийая,adj,derived_inflected,банковскийая
скийяя,adj,derived_inflected,банковскийяя
скийое,adj,derived_inflected,банковскийое
ческийый,adj,derived_inflected,банковческийый
ческийий,adj,derived_inflected,банковческийий
ческийой,adj,derived_inflected,банковческийой
ческийая,adj,derived_inflected,банковческийая
ческийяя,adj,derived_inflected,банковческийяя
ческийое,adj,derived_inflected,банковческийое
ическийый,adj,derived_inflected,банковическийый
ическийий,adj,derived_inflected,банковическийий
ическийой,adj,derived_inflected,банковическийой
ическийая,adj,derived_inflected,банковическийая
ическийяя,adj,derived_inflected,банковическийяя
ическийое,adj,derived_inflected,банковическийое
ныйый,adj,derived_inflected,банковныйый
ныйий,adj,derived_inflected,банковныйий
ныйой,adj,derived_inflected,банковныйой
ныйая,adj,derived_inflected,банковныйая
ныйяя,adj,derived_inflected,банковныйяя
ныйое,adj,derived_inflected,банковныйое
овойый,adj,derived_inflected,банкововойый
овойий,adj,derived_inflected,банкововойий
овойой,adj,derived_inflected,банкововойой
овойая,adj,derived_inflected,банкововойая
овойяя,adj,derived_inflected,банкововойяя
овойое,adj,derived_inflected,банкововойое
евойый,adj,derived_inflected,банковевойый
евойий,adj,derived_inflected,банковевойий
евойой,adj,derived_inflected,банковевойой
евойая,adj,derived_inflected,банковевойая
евойяя,adj,derived_inflected,банковевойяя
евойое,adj,derived_inflected,банковевойое
оватыйый,adj,derived_inflected,банкововатыйый
оватыйий,adj,derived_inflected,банкововатыйий
оватыйой,adj,derived_inflected,банкововатыйой
оватыйая,adj,derived_inflected,банкововатыйая
оватыйяя,adj,derived_inflected,банкововатыйяя
оватыйое,adj,derived_inflected,банкововатыйое
чатыйый,adj,derived_inflected,банковчатыйый
чатыйий,adj,derived_inflected,банковчатыйий
чатыйой,adj,derived_inflected,банковчатыйой
чатыйая,adj,derived_inflected,банковчатыйая
чатыйяя,adj,derived_inflected,банковчатыйяя
чатыйое,adj,derived_inflected,банковчатыйое
ливыйый,adj,derived_inflected,банковливыйый
ливыйий,adj,derived_inflected,банковливыйий
ливыйой,adj,derived_inflected,банковливыйой
ливыйая,adj,derived_inflected,банковливыйая
ливыйяя,adj,derived_inflected,банковливыйяя
ливыйое,adj,derived_inflected,банковливыйое
ущийый,participle,derived_inflected,отправлущийый
ущийий,participle,derived_inflected,отправлущийий
ущийой,participle,derived_inflected,отправлущийой
ущийая,participle,derived_inflected,отправлущийая
ющийый,participle,derived_inflected,отправлющийый
ющийий,participle,derived_inflected,отправлющийий
ющийой,participle,derived_inflected,отправлющийой
ющийая,participle,derived_inflected,отправлющийая
вшийый,participle,derived_inflected,отправлвшийый
вшийий,participle,derived_inflected,отправлвшийий
вшийой,participle,derived_inflected,отправлвшийой
вшийая,participle,derived_inflected,отправлвшийая
шийый,participle,derived_inflected,отправлшийый
шийий,participle,derived_inflected,отправлшийий
шийой,participle,derived_inflected,отправлшийой
шийая,participle,derived_inflected,отправлшийая
нныйый,participle,derived_inflected,отправлнныйый
нныйий,participle,derived_inflected,отправлнныйий
нныйой,participle,derived_inflected,отправлнныйой
