Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.238
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.856294729087764
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.98438913621969
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.941
Afghanistan,AFG,Net migration,SM.POP.NETM,9159
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.395
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.4982994465818
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.426007367032238
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.467
Albania,ALB,Net migration,SM.POP.NETM,-23094
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.997
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.939992962004737
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.84041291439333
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.682
Algeria,DZA,Net migration,SM.POP.NETM,-27786
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.404
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.897584681397618
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-1.38257886328442
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.751
American Samoa,ASM,Net migration,SM.POP.NETM,-1212
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.045
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.265352820614368
Andorra,AND,Population growth (annual %),SP.POP.GROW,1.73050296926809
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.098
Andorra,AND,Net migration,SM.POP.NETM,1245
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.442
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.01001733670611
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.38788422184303
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.051
Angola,AGO,Net migration,SM.POP.NETM,58984
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.468
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.67761319425004
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.480553889847623
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.168
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,0
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.882
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.69506723533574
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.710900853077743
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.847
Argentina,ARG,Net migration,SM.POP.NETM,5397
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.6
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.83608438672164
Armenia,ARM,Population growth (annual %),SP.POP.GROW,-0.219168932037313
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.2219512195122
Armenia,ARM,Net migration,SM.POP.NETM,-14330
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.701
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.496550426491
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.270504632854835
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.019
Aruba,ABW,Net migration,SM.POP.NETM,420
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.657
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.673067165560809
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.47749071058438
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.9
Australia,AUS,Net migration,SM.POP.NETM,207142
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.46
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.30350317565873
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.444673639004876
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.8951219512195
Austria,AUT,Net migration,SM.POP.NETM,41090
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.81
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.61582957425298
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.846646726414021
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.29
Azerbaijan,AZE,Net migration,SM.POP.NETM,384
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.397
"Bahamas, The",BHS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.33099312036482
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,0.497339072752345
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.408
"Bahamas, The",BHS,Net migration,SM.POP.NETM,1002
Bahrain,BHR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.843
Bahrain,BHR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.38274086937953
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,-1.29469437720599
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.471
Bahrain,BHR,Net migration,SM.POP.NETM,-31967
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.18
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.97264399779152
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,0.84641125179804
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.625
Bangladesh,BGD,Net migration,SM.POP.NETM,-1016796
Barbados,BRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.715
Barbados,BRB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.475051848593893
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.176538259610281
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.495
Barbados,BRB,Net migration,SM.POP.NETM,-65
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.382
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.65136750420831
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.201786600970723
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.2268292682927
Belarus,BLR,Net migration,SM.POP.NETM,-33954
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.6
