Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2019 [YR2019]
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.195,5.238
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,11.0550305527288,0.856294729087764
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.93468670173474,2.98438913621969
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.702,62.941
Afghanistan,AFG,Net migration,SM.POP.NETM,-167460,9159
Afghanistan,AFG,"Population, total",SP.POP.TOTL,28284089,37856121
Albania,ALB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.653,1.395
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.48564808644622,2.4982994465818
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.49646196338738,-0.426007367032238
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.414,79.467
Albania,ALB,Net migration,SM.POP.NETM,-51907,-23094
Albania,ALB,"Population, total",SP.POP.TOTL,2913021,2854191
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.875,2.997
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.77921908194712,-0.939992962004737
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.9470588317966,1.84041291439333
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.144,75.682
Algeria,DZA,Net migration,SM.POP.NETM,-10788,-27786
Algeria,DZA,"Population, total",SP.POP.TOTL,36188236,43294546
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.292,2.404
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.84468159199173,0.897584681397618
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-0.541732698337665,-1.38257886328442
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.587,72.751
American Samoa,ASM,Net migration,SM.POP.NETM,-1261,-1212
American Samoa,ASM,"Population, total",SP.POP.TOTL,55228,50209
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.275,1.045
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.88988084312282,0.265352820614368
Andorra,AND,Population growth (annual %),SP.POP.GROW,-3.86696538756774,1.73050296926809
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.197,84.098
Andorra,AND,Net migration,SM.POP.NETM,-6194,1245
Andorra,AND,"Population, total",SP.POP.TOTL,80706,76474
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.194,5.442
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.45432400635525,-4.01001733670611
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.85109824897149,3.38788422184303
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.242,63.051
Angola,AGO,Net migration,SM.POP.NETM,122418,58984
Angola,AGO,"Population, total",SP.POP.TOTL,23294825,32375632
