sample_id,label,dark_frac,vert_strokes_count,horiz_strokes_count,aspect_ratio,compactness,num_contours,cc_count,col_peaks,row_peaks,vertical_intensity_variance,gap_depth_index,intensity_fluctuation_ratio,column_intensity_entropy,frequency_white,average_peak_width,contour_count,avg_contour_area,contour_solidity,contour_extent,contour_perimeter_ratio,hull_area_ratio,contour_complexity,aspect_ratio_mean,aspect_ratio_std,aspect_ratio_range,width_variation,height_variation,char_count_estimate,canny_edge_density,sobel_edge_density,sobel_mean_magnitude,sobel_std_magnitude,edge_direction_ratio,high_freq_ratio,hole_count,avg_cc_area,cc_area_std,avg_eccentricity,avg_euler_number,stroke_density,hog_mean,hog_std,hog_max,hog_energy,hog_feature_count,fourier_energy,fourier_symmetry,fourier_complexity
NUM_000,NUMBER,0.0,1,1,0.025,1.0,1,1,4,1,0.0015609328402206302,0.33331072330474854,2.6325778319506307e-05,0.0,0.0,0.0,1,6201.0,1.0,0.96890625,0.06386066763425254,1.0,2.0124207027817014,4.0,0.0,0.0,0.0,0.0,1,0.0,0.020625,0.07119771441514446,0.5073764731065676,1.1999996800000854,0.03666542510484478,1,6400.0,0.0,0.9682647481574022,1.0,1.0,0.015191955900518923,0.08193685931761734,0.9999999987499999,18.99999998488054,2736,0,0,0
NUM_001,NUMBER,0.0,1,1,0.025,1.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,6201.0,1.0,0.96890625,0.06386066763425254,1.0,2.0124207027817014,4.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,6400.0,0.0,0.9682647481574022,1.0,1.0,0.0,0.0,0.0,0.0,2736,0,0,0
NUM_002,NUMBER,0.0,1,1,0.025,1.0,1,1,2,1,8.348336996277794e-05,1.0,8.69447979155164e-06,0.0,0.0,0.0,1,6201.0,1.0,0.96890625,0.06386066763425254,1.0,2.0124207027817014,4.0,0.0,0.0,0.0,0.0,1,0.0,0.00625,0.016338834764831844,0.2285454932360897,0.9999990000010001,0.02749097748096944,1,6400.0,0.0,0.9682647481574022,1.0,1.0,0.004967220057447831,0.046565106891944125,0.49999999984375,5.999999996763158,2736,0,0,0
NUM_003,NUMBER,0.0,1,1,0.025,1.0,1,1,4,1,0.0013826541835442185,0.6666666865348816,3.2873063108360824e-05,0.0,0.0,0.0,1,6201.0,1.0,0.96890625,0.06386066763425254,1.0,2.0124207027817014,4.0,0.0,0.0,0.0,0.0,1,0.0,0.028125,0.08626444463948674,0.5466337398944936,1.3862065906302694,0.05691609946104718,1,6400.0,0.0,0.9682647481574022,1.0,1.0,0.017912551628091397,0.07910807707939493,0.7105986905591346,17.999999990718052,2736,0,0,0
NUM_004,NUMBER,0.0,1,1,0.025,1.0,1,1,4,2,0.0007858634926378727,0.8333333134651184,2.947896913526263e-05,0.0,0.0,0.0,1,6201.0,1.0,0.96890625,0.06386066763425254,1.0,2.0124207027817014,4.0,0.0,0.0,0.0,0.0,1,0.0,0.025,0.0692289386958714,0.4758753555785835,0.8888886913580686,0.06081801403955402,1,6400.0,0.0,0.9682647481574022,1.0,1.0,0.014220570875351208,0.07266520145083688,0.49999999984375,14.999999993326123,2736,0,0,0
NUM_005,NUMBER,0.0,1,1,0.025,1.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,6201.0,1.0,0.96890625,0.06386066763425254,1.0,2.0124207027817014,4.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,6400.0,0.0,0.9682647481574022,1.0,1.0,0.0,0.0,0.0,0.0,2736,0,0,0
NUM_006,NUMBER,0.0,1,1,0.025,1.0,1,1,3,2,0.003779721911996603,0.6666892766952515,2.9610700072600252e-05,0.0,0.0,0.0,1,6201.0,1.0,0.96890625,0.06386066763425254,1.0,2.0124207027817014,4.0,0.0,0.0,0.0,0.0,1,0.0,0.03375,0.11089181379486178,0.6296451426266114,0.7627117609882359,0.06819144650048543,1,6400.0,0.0,0.9682647481574022,1.0,1.0,0.020045162969351434,0.09729651835769543,0.9999999987499999,26.9999999736404,2736,0,0,0
NUM_007,NUMBER,0.0,1,1,0.025,1.0,1,1,3,2,0.002143477788195014,0.8333333134651184,2.1341217199323842e-05,0.0,0.0,0.0,1,6201.0,1.0,0.96890625,0.06386066763425254,1.0,2.0124207027817014,4.0,0.0,0.0,0.0,0.0,1,0.0,0.0325,0.11200135369872473,0.6304408749198082,0.925925788751735,0.05234277933424707,1,6400.0,0.0,0.9682647481574022,1.0,1.0,0.01732199511117966,0.07923948416432498,0.5773502689490632,17.999999991351473,2736,0,0,0
NUM_008,NUMBER,0.0,1,1,0.025,1.0,1,1,4,3,0.0003734478377737105,0.7333577275276184,2.0194913941957345e-05,0.0,0.0,0.0,1,6201.0,1.0,0.96890625,0.06386066763425254,1.0,2.0124207027817014,4.0,0.0,0.0,0.0,0.0,1,0.0,0.01734375,0.04866435978246557,0.39466033508190657,1.2976185532881703,0.047936359590308376,1,6400.0,0.0,0.9682647481574022,1.0,1.0,0.01177738427076231,0.06791726735965829,0.7071067807446058,12.999999993325286,2736,0,0,0
NUM_009,NUMBER,0.0,1,1,0.025,1.0,1,1,3,2,0.00017177610425278544,0.8749618530273438,1.4164928873770056e-05,0.0,0.0,0.0,1,6201.0,1.0,0.96890625,0.06386066763425254,1.0,2.0124207027817014,4.0,0.0,0.0,0.0,0.0,1,0.0,0.0103125,0.02802976065672774,0.3028437427412469,0.9999994285717551,0.04110104964654879,1,6400.0,0.0,0.9682647481574022,1.0,1.0,0.01135287701035193,0.07062627871409889,0.5773502689490632,13.999999992028037,2736,0,0,0
