label,dark_frac,vert_strokes_count,horiz_strokes_count,aspect_ratio,compactness,num_contours,cc_count,col_peaks,row_peaks,vertical_intensity_variance,gap_depth_index,intensity_fluctuation_ratio,column_intensity_entropy,frequency_white,average_peak_width
NUMBER,0.01296875,1,1,0.0666666666666666,0.4274509803921568,1,9,5,2,93.45645141601562,0.3017318844795227,0.0068855938173906,0.0,0.885,0.03875
NUMBER,0.0190625,1,1,0.1,0.5571428571428572,1,7,7,2,145.3673858642578,0.3674114346504211,0.0115235758139479,0.0,0.87,0.036
NUMBER,0.0175,1,1,0.0999999999999999,0.492156862745098,1,10,10,2,123.34786987304688,0.2992964386940002,0.011240831901608,0.0,0.88,0.032
NUMBER,0.01,1,1,0.0833333333333333,0.3717948717948718,1,9,7,2,83.20072174072266,0.12394829839468,0.007910240814929,0.0,0.93,0.02625
NUMBER,0.01890625,1,1,0.1111111111111111,0.5070707070707071,1,10,10,1,125.3848114013672,0.2490612268447876,0.0111982733372325,0.0,0.8,0.0433333333333333
NUMBER,0.01578125,1,2,0.1,0.486,1,13,9,2,135.89549255371094,0.1961343735456466,0.0125975909265955,0.0,0.865,0.0325
NUMBER,0.01015625,1,1,0.1111111111111111,0.4844444444444444,1,3,4,1,67.36186218261719,0.2971389889717102,0.0052628857124349,0.0,0.915,0.0383333333333333
NUMBER,0.025,1,3,0.1,0.4887096774193548,1,13,12,1,202.5083770751953,0.254214733839035,0.0173569689300655,0.0,0.83,0.0342857142857142
NUMBER,0.01453125,1,1,0.0909090909090909,0.4568764568764569,1,6,6,2,113.28748321533205,0.2730061411857605,0.0088643712305653,0.0,0.87,0.0425
NUMBER,0.0059375,1,1,0.1111111111111111,0.4222222222222222,1,5,4,1,42.1644401550293,0.2438209801912307,0.0047636541573594,0.0,0.945,0.035
NUMBER,0.02078125,1,1,0.1111111111111111,0.6469135802469136,1,9,8,2,159.3907470703125,0.4112956821918487,0.0127809349381053,0.0,0.84,0.042
NUMBER,0.01109375,1,2,0.1111111111111111,0.5733333333333334,1,4,3,2,82.49417114257812,0.32869353890419,0.0054678271812092,0.0,0.925,0.035
NUMBER,0.013125,1,1,0.0909090909090909,0.4498834498834498,1,7,6,2,98.91001892089844,0.2377225011587143,0.0084708239068509,0.0,0.895,0.031
NUMBER,0.01390625,1,1,0.0833333333333333,0.5632183908045977,1,10,7,2,114.43887329101562,0.3636772930622101,0.0089833039572129,0.0,0.905,0.03125
NUMBER,0.00828125,1,1,0.1111111111111111,0.40625,1,3,5,1,71.52921295166016,0.2666357755661011,0.0084044873955756,0.0,0.935,0.0316666666666666
NUMBER,0.018125,1,1,0.0833333333333333,0.4786324786324786,1,7,7,3,134.30828857421875,0.2660790383815765,0.0099774793179554,0.0,0.84,0.05
NUMBER,0.01390625,1,1,0.0909090909090909,0.4491978609625668,1,8,5,3,123.1018524169922,0.1449070423841476,0.0101879726763054,0.0,0.905,0.0289999999999999
NUMBER,0.01203125,1,1,0.0909090909090909,0.3896103896103896,1,6,4,2,131.72528076171875,0.3107316195964813,0.0089684384490598,0.0,0.92,0.03
NUMBER,0.01953125,1,1,0.0666666666666666,0.4419047619047619,1,5,5,1,154.4246826171875,0.1723929345607757,0.009359024161816,0.0,0.87,0.0533333333333333
NUMBER,0.01109375,1,3,0.1111111111111111,0.5416666666666666,1,3,5,1,86.74163818359375,0.3465898931026459,0.0066423485063698,0.0,0.92,0.0366666666666666
NUMBER,0.0159375,1,2,0.1111111111111111,0.5679012345679012,1,9,9,2,136.81784057617188,0.2157152146100998,0.0122864533489696,0.0,0.87,0.035
NUMBER,0.0128125,1,1,0.1111111111111111,0.5053763440860215,1,7,5,2,88.90929412841797,0.2254782319068908,0.0072438346739199,0.0,0.925,0.02875
NUMBER,0.01171875,1,1,0.0999999999999999,0.4666666666666667,1,8,6,1,113.875,0.1642127782106399,0.01023557661268,0.0,0.935,0.025
NUMBER,0.0153125,1,1,0.0999999999999999,0.4641025641025641,1,7,6,2,122.6708755493164,0.2525146007537842,0.0105920320179582,0.0,0.88,0.034
NUMBER,0.01828125,1,1,0.1,0.482,1,10,10,3,151.45172119140625,0.2068185210227966,0.0129889204338564,0.0,0.865,0.0325
NUMBER,0.018125,1,1,0.0999999999999999,0.6076923076923076,1,10,8,2,132.49017333984375,0.3222077786922455,0.0097511597008984,0.0,0.85,0.04
NUMBER,0.0103125,1,1,0.1111111111111111,0.5659722222222222,1,7,7,1,90.62541198730467,0.3363848030567169,0.0067875732522226,0.0,0.91,0.03125
NUMBER,0.01828125,1,1,0.0666666666666666,0.379047619047619,1,5,4,2,143.98451232910156,0.2464735656976699,0.0088135262548305,0.0,0.875,0.04125
NUMBER,0.02390625,1,1,0.1,0.5702127659574469,1,10,12,2,183.2899475097656,0.2851197123527527,0.0124084846024874,0.0,0.83,0.0366666666666666
NUMBER,0.015625,1,2,0.1,0.546875,1,5,7,1,152.9031219482422,0.2055358737707138,0.0111255932470076,0.0,0.905,0.0325
NUMBER,0.02421875,1,1,0.1,0.52,1,12,10,1,209.90574645996097,0.2402395755052566,0.0159863301570837,0.0,0.845,0.0358333333333333
NUMBER,0.015625,1,1,0.1111111111111111,0.5675675675675675,1,8,7,2,128.96542358398438,0.4031717479228973,0.0110946254366792,0.0,0.895,0.03
NUMBER,0.01359375,1,1,0.0769230769230769,0.3530571992110454,1,10,4,2,119.329833984375,0.4644782245159149,0.0090414510880799,0.0,0.89,0.032
NUMBER,0.02421875,1,1,0.0666666666666666,0.4704761904761905,1,6,5,3,221.83856201171875,0.2498489320278167,0.0106519579002572,0.0,0.87,0.0425
NUMBER,0.0246875,1,1,0.0999999999999999,0.5377049180327869,1,12,11,2,221.76153564453125,0.2391576617956161,0.0161400256429347,0.0,0.815,0.033125
NUMBER,0.00828125,1,1,0.0833333333333333,0.4569892473118279,1,10,5,2,81.07192993164062,0.2596235573291778,0.0067311828842687,0.0,0.925,0.025
NUMBER,0.0178125,1,1,0.0999999999999999,0.5615384615384615,1,6,7,2,157.68360900878906,0.3703081607818603,0.0124122674530383,0.0,0.865,0.037
NUMBER,0.01234375,1,1,0.1,0.5085714285714286,1,8,6,2,108.3184585571289,0.1595806330442428,0.0084417020171812,0.0,0.895,0.03625
NUMBER,0.0165625,1,1,0.1,0.575,1,11,7,2,128.38568115234375,0.2357852458953857,0.008466818483039,0.0,0.865,0.037
NUMBER,0.01296875,1,2,0.0999999999999999,0.5521739130434783,1,6,5,2,89.81268310546875,0.338403046131134,0.0061256604090911,0.0,0.92,0.0366666666666666
NUMBER,0.01546875,1,3,0.0666666666666666,0.392156862745098,1,9,6,2,148.76214599609375,0.1876921206712722,0.0109098235910329,0.0,0.9,0.03
NUMBER,0.0103125,1,1,0.1111111111111111,0.625,1,3,5,1,74.97914123535156,0.1495785266160965,0.0063421336014294,0.0,0.9,0.0433333333333333
NUMBER,0.01890625,1,2,0.1,0.6485714285714286,1,6,7,2,148.37547302246094,0.2800763845443725,0.0090060306315647,0.0,0.87,0.0425
NUMBER,0.02765625,1,2,0.0909090909090909,0.5131964809384164,1,18,12,2,232.6703186035156,0.171662226319313,0.0184325945070102,0.0,0.8,0.0385714285714285
NUMBER,0.00515625,1,1,0.1,0.4318181818181818,1,5,3,2,51.33012771606445,0.0714948922395706,0.0050611645971047,0.0,0.955,0.025
NUMBER,0.00859375,1,1,0.1111111111111111,0.6455026455026455,1,5,3,2,68.70378875732422,0.3049738109111786,0.0051359448739183,0.0,0.93,0.0333333333333333
NUMBER,0.01015625,1,1,0.1111111111111111,0.5155555555555555,1,7,4,2,75.66769409179688,0.3311102986335754,0.004944521344246,0.0,0.925,0.035
NUMBER,0.00984375,1,1,0.1111111111111111,0.5806451612903226,1,3,6,2,100.81859588623048,0.3972188532352447,0.0076825050674573,0.0,0.93,0.0333333333333333
NUMBER,0.01234375,1,2,0.0999999999999999,0.5428571428571428,1,7,5,2,90.94081115722656,0.1590130925178527,0.0070974577638927,0.0,0.915,0.03125
NUMBER,0.01890625,1,1,0.1111111111111111,0.5876543209876544,1,9,8,2,132.3000030517578,0.3443378508090973,0.0092091922474246,0.0,0.85,0.035
NUMBER,0.02453125,1,3,0.1,0.532,1,6,7,3,220.5550842285156,0.3773735761642456,0.0152656563122554,0.0,0.845,0.0358333333333333
NUMBER,0.018125,1,1,0.1,0.6387096774193548,1,5,6,2,141.96322631835938,0.2016175538301468,0.0092393273024826,0.0,0.885,0.03875
NUMBER,0.0246875,1,2,0.0909090909090909,0.5050505050505051,1,14,13,1,222.3161163330078,0.2289814054965973,0.0193677571195895,0.0,0.82,0.0357142857142857
NUMBER,0.01265625,1,1,0.0769230769230769,0.4358974358974359,1,6,5,2,146.11868286132812,0.4158685207366943,0.0110498368876197,0.0,0.905,0.0289999999999999
NUMBER,0.02109375,1,1,0.0999999999999999,0.4509803921568627,1,11,9,2,157.25921630859375,0.2658236920833587,0.0136995910442549,0.0,0.855,0.0341666666666666
NUMBER,0.015,1,1,0.0999999999999999,0.5102564102564102,1,8,7,1,124.3126449584961,0.3584494888782501,0.0095446556356978,0.0,0.91,0.03125
NUMBER,0.0109375,1,1,0.1111111111111111,0.4910394265232975,1,4,5,2,85.82230377197266,0.3165686726570129,0.0047034268813451,0.0,0.92,0.05
NUMBER,0.02125,1,1,0.1,0.45,1,10,9,3,148.83143615722656,0.2811669707298279,0.0109227537378461,0.0,0.845,0.0358333333333333
NUMBER,0.01015625,1,1,0.1,0.562962962962963,1,7,4,2,91.17263793945312,0.2320049405097961,0.0065958139819756,0.0,0.91,0.0325
NUMBER,0.02078125,1,1,0.1,0.6,1,8,7,2,191.7080078125,0.2243072986602783,0.0126948440294393,0.0,0.865,0.0325
NUMBER,0.01234375,1,1,0.0714285714285714,0.3865546218487395,1,8,6,2,120.91036987304688,0.2628513872623443,0.0114695602459546,0.0,0.9,0.03
NUMBER,0.01171875,1,2,0.1111111111111111,0.6460905349794238,1,7,5,2,108.82331085205078,0.252547949552536,0.0083099970948305,0.0,0.925,0.02875
NUMBER,0.01625,1,1,0.0999999999999999,0.5871794871794872,1,9,7,2,120.29705047607422,0.3765580356121063,0.0103822496252408,0.0,0.865,0.037
NUMBER,0.02125,1,4,0.1111111111111111,0.6345679012345679,1,7,9,2,171.9455108642578,0.4983676075935364,0.0135857881778683,0.0,0.865,0.0325
NUMBER,0.01609375,1,1,0.0833333333333333,0.4385964912280701,1,8,7,2,157.07493591308594,0.4490740597248077,0.013575392919238,0.0,0.895,0.025
NUMBER,0.0084375,1,1,0.1111111111111111,0.4888888888888889,1,5,3,2,69.00006103515625,0.3271457552909851,0.0052676398027328,0.0,0.93,0.0333333333333333
NUMBER,0.01546875,1,1,0.0833333333333333,0.4786324786324786,1,10,7,2,120.4323959350586,0.1678876727819442,0.0089114403578422,0.0,0.87,0.036
NUMBER,0.01703125,1,1,0.1111111111111111,0.4282407407407407,1,10,9,2,116.82162475585938,0.2359616607427597,0.0113145848402222,0.0,0.85,0.035
NUMBER,0.006875,1,1,0.0714285714285714,0.3244897959183673,1,10,7,2,68.18191528320312,0.1146829426288604,0.0081346907758235,0.0,0.915,0.027
NUMBER,0.01625,1,1,0.0999999999999999,0.4901960784313725,1,12,11,2,122.62349700927734,0.1537230163812637,0.0102220087845731,0.0,0.86,0.0333333333333333
NUMBER,0.0228125,1,5,0.1,0.6971428571428572,1,5,9,2,203.75564575195312,0.3247906863689422,0.0106544426551549,0.0,0.875,0.035
NUMBER,0.0084375,1,1,0.125,0.71875,1,7,5,1,60.9784049987793,0.2655965983867645,0.006612360376871,0.0,0.915,0.03
NUMBER,0.01640625,1,1,0.1,0.5314285714285715,1,8,6,1,120.06365966796876,0.311443418264389,0.0079438247404916,0.0,0.885,0.03875
NUMBER,0.01234375,1,1,0.0909090909090909,0.4294670846394984,1,6,4,2,85.04027557373047,0.1543803364038467,0.0084469819833549,0.0,0.915,0.027
NUMBER,0.0159375,1,1,0.0714285714285714,0.4033613445378151,1,10,7,1,139.33474731445312,0.3008303940296173,0.0133781901816617,0.0,0.885,0.032
NUMBER,0.011875,1,2,0.1111111111111111,0.7883597883597884,1,4,5,2,95.8449249267578,0.3447397649288177,0.0062255064470525,0.0,0.905,0.0575
NUMBER,0.0165625,1,1,0.1111111111111111,0.5429292929292929,1,10,8,2,106.6825714111328,0.2629826664924621,0.0086712035012766,0.0,0.865,0.0316666666666666
NUMBER,0.00828125,1,1,0.0999999999999999,0.3928571428571428,1,10,3,1,46.37550354003906,0.3034825623035431,0.0051172665967987,0.0,0.92,0.0275
NUMBER,0.01125,1,1,0.0666666666666666,0.2857142857142857,1,10,5,2,92.5895538330078,0.1433231383562088,0.0090879459717034,0.0,0.915,0.02875
NUMBER,0.01375,1,1,0.0999999999999999,0.4923076923076923,1,9,7,2,125.79769897460938,0.2391932606697082,0.012373249559705,0.0,0.915,0.026
NUMBER,0.0128125,1,2,0.0999999999999999,0.596551724137931,1,8,7,2,93.05070495605467,0.3191139698028564,0.0080293130910912,0.0,0.89,0.0283333333333333
NUMBER,0.0221875,1,1,0.0999999999999999,0.5235294117647059,1,7,10,2,165.51312255859375,0.3928799033164978,0.0152435969277749,0.0,0.845,0.0358333333333333
NUMBER,0.0153125,1,2,0.1111111111111111,0.508641975308642,1,9,8,2,134.71409606933594,0.1837928742170334,0.0122326845171223,0.0,0.885,0.0291666666666666
NUMBER,0.01515625,1,1,0.0999999999999999,0.4846153846153846,1,7,6,1,116.67530059814452,0.3048455417156219,0.0079759712962446,0.0,0.875,0.04125
NUMBER,0.023125,1,2,0.1,0.6444444444444445,1,8,7,2,200.66749572753903,0.3933933973312378,0.012050552810135,0.0,0.85,0.035
NUMBER,0.01921875,1,4,0.1111111111111111,0.5580246913580247,1,11,8,2,153.24000549316406,0.2386468946933746,0.0125874325841757,0.0,0.855,0.0341666666666666
NUMBER,0.00984375,1,1,0.0909090909090909,0.375366568914956,1,6,4,2,76.28795623779297,0.2896279692649841,0.0056934393962256,0.0,0.905,0.0416666666666666
NUMBER,0.016875,1,1,0.0999999999999999,0.5078431372549019,1,12,10,2,129.7994384765625,0.2313101142644882,0.012882063609841,0.0,0.875,0.0291666666666666
NUMBER,0.01796875,1,2,0.0999999999999999,0.6696969696969697,1,9,6,2,158.75961303710938,0.2416988462209701,0.0086358803830526,0.0,0.88,0.034
NUMBER,0.01515625,1,2,0.1,0.4342857142857143,1,8,7,1,147.56675720214844,0.229019433259964,0.010579885561661,0.0,0.905,0.03375
NUMBER,0.0165625,1,1,0.0999999999999999,0.4717948717948718,1,4,6,2,123.88755798339844,0.2303100228309631,0.0077868384935308,0.0,0.88,0.04
NUMBER,0.01765625,1,1,0.0999999999999999,0.4431372549019607,1,10,6,2,150.5045166015625,0.3173617124557495,0.0123426552973172,0.0,0.865,0.0325
NUMBER,0.00953125,1,1,0.0999999999999999,0.4620689655172413,1,10,5,2,64.67961120605469,0.2904195189476013,0.0080012729998199,0.0,0.91,0.025
NUMBER,0.0171875,1,1,0.0999999999999999,0.558974358974359,1,10,8,2,121.2612075805664,0.3417077660560608,0.0098202277589553,0.0,0.86,0.038
NUMBER,0.02359375,1,2,0.1111111111111111,0.654320987654321,1,12,9,2,186.63232421875,0.3115709125995636,0.0140195519057953,0.0,0.835,0.0375
NUMBER,0.02046875,1,1,0.0999999999999999,0.4619047619047619,1,13,9,2,175.8925323486328,0.1571304351091385,0.0144976629216747,0.0,0.835,0.0335714285714285
NUMBER,0.01359375,1,2,0.1,0.5838709677419355,1,3,5,2,125.3154754638672,0.3062607049942016,0.0069711318518383,0.0,0.905,0.0325
NUMBER,0.011875,1,2,0.1111111111111111,0.5972222222222222,1,6,6,2,77.85594177246094,0.3168585002422333,0.0064351928975359,0.0,0.91,0.0325
NUMBER,0.02328125,1,2,0.1,0.494,1,7,8,2,226.75259399414065,0.4376910328865051,0.0152224373304571,0.0,0.855,0.0341666666666666
NUMBER,0.01046875,1,2,0.1111111111111111,0.6533333333333333,1,4,5,2,85.73150634765625,0.3004062175750732,0.0057177294188222,0.0,0.92,0.0366666666666666
NUMBER,0.019375,1,2,0.0909090909090909,0.5827505827505828,1,7,9,2,156.1038360595703,0.3574281930923462,0.0133031630083573,0.0,0.85,0.04
NUMBER,0.01671875,1,1,0.0999999999999999,0.481578947368421,1,4,6,2,125.4994888305664,0.4923412203788757,0.0092880174226281,0.0,0.865,0.04375
NUMBER,0.0278125,1,2,0.0999999999999999,0.6018867924528302,1,14,14,2,216.92332458496097,0.1792565137147903,0.015870792248644,0.0,0.815,0.035
NUMBER,0.01796875,1,2,0.1111111111111111,0.5802469135802469,1,9,6,2,132.33006286621094,0.186961367726326,0.0098705391502673,0.0,0.845,0.0409999999999999
NUMBER,0.0103125,1,1,0.1111111111111111,0.6990740740740741,1,7,4,2,79.103271484375,0.3538188338279724,0.0064110277621917,0.0,0.925,0.0333333333333333
NUMBER,0.0165625,1,3,0.1,0.5857142857142857,1,8,7,2,132.59918212890625,0.4438483417034149,0.0095772483143073,0.0,0.88,0.034
NUMBER,0.020625,1,2,0.1111111111111111,0.5061728395061729,1,10,7,2,129.8161163330078,0.3712790012359619,0.0092184953042023,0.0,0.85,0.035
NUMBER,0.02140625,1,2,0.0999999999999999,0.5098039215686274,1,12,11,3,153.5808563232422,0.2257787138223648,0.0136235393332427,0.0,0.84,0.0366666666666666
NUMBER,0.0171875,1,3,0.0833333333333333,0.5344827586206896,1,8,6,1,158.39306640625,0.2853855788707733,0.0112631257705241,0.0,0.9,0.035
NUMBER,0.009375,1,1,0.1111111111111111,0.5644444444444444,1,7,4,1,69.52857208251953,0.2007139474153518,0.0058276583958621,0.0,0.93,0.0333333333333333
NUMBER,0.01671875,1,1,0.1111111111111111,0.7047619047619048,1,5,7,2,134.42608642578125,0.2336833477020263,0.0093575624487197,0.0,0.865,0.037
NUMBER,0.0175,1,1,0.1111111111111111,0.6634920634920635,1,8,7,2,131.86643981933594,0.3681448996067047,0.008072788919073,0.0,0.87,0.0425
NUMBER,0.01546875,1,1,0.0909090909090909,0.5036855036855037,1,5,6,2,132.77261352539062,0.3574255108833313,0.0076485127655234,0.0,0.865,0.04375
NUMBER,0.0121875,1,1,0.0999999999999999,0.691304347826087,1,5,4,1,98.30999755859376,0.2663566470146179,0.0061079515234868,0.0,0.915,0.0383333333333333
NUMBER,0.01171875,1,1,0.1,0.5740740740740741,1,9,4,2,82.42002868652344,0.3558062613010406,0.0062392766549463,0.0,0.915,0.03125
NUMBER,0.01515625,1,1,0.0999999999999999,0.5025641025641026,1,6,7,2,120.23860168457033,0.3143017888069153,0.0090554284620765,0.0,0.875,0.04125
NUMBER,0.02078125,1,2,0.0909090909090909,0.5116883116883116,1,7,5,2,167.73208618164062,0.3013495206832886,0.00989249932946,0.0,0.875,0.035
NUMBER,0.010625,1,2,0.1111111111111111,0.4874551971326165,1,4,5,2,82.62640380859375,0.1944652199745178,0.0047816805143066,0.0,0.92,0.05
NUMBER,0.01859375,1,2,0.1,0.6114285714285714,1,8,5,2,176.7534942626953,0.3691446185111999,0.0099869880721833,0.0,0.885,0.033
NUMBER,0.01296875,1,1,0.0999999999999999,0.3894736842105263,1,5,5,2,94.36189270019533,0.3773584961891174,0.0068471554850879,0.0,0.89,0.0375
NUMBER,0.0090625,1,2,0.1111111111111111,0.4479166666666667,1,3,5,2,76.89227294921875,0.2466422617435455,0.0061757338253222,0.0,0.94,0.03
NUMBER,0.009375,1,1,0.1,0.4677419354838709,1,9,3,2,68.87708282470703,0.2990942001342773,0.005628246372034,0.0,0.91,0.0325
NUMBER,0.0159375,1,1,0.0999999999999999,0.5487179487179488,1,8,8,2,118.99693298339844,0.2701207399368286,0.0094166611518329,0.0,0.875,0.035
NUMBER,0.0178125,1,1,0.0909090909090909,0.4211502782931354,1,10,7,2,165.00340270996094,0.191650316119194,0.0117321757344942,0.0,0.885,0.0291666666666666
NUMBER,0.01609375,1,2,0.0833333333333333,0.5833333333333334,1,7,5,3,147.66986083984375,0.4372782707214355,0.0089406368408092,0.0,0.895,0.031
NUMBER,0.013125,1,1,0.1,0.6454545454545455,1,4,2,2,129.31459045410156,0.5680130124092102,0.0062119847696299,0.0,0.925,0.035
NUMBER,0.006875,1,1,0.1111111111111111,0.4372759856630824,1,4,5,2,52.18856430053711,0.2626905143260956,0.0054379761418558,0.0,0.925,0.035
NUMBER,0.01390625,1,1,0.0999999999999999,0.3868421052631579,1,4,5,2,102.23648071289062,0.3552034199237823,0.0081914739199728,0.0,0.885,0.03875
NUMBER,0.02109375,1,4,0.1111111111111111,0.5432098765432098,1,11,11,2,161.0889129638672,0.3110905289649963,0.0164772207438083,0.0,0.835,0.0335714285714285
NUMBER,0.02,1,1,0.0909090909090909,0.5194805194805194,1,7,5,3,186.4611358642578,0.2926434576511383,0.0113698192455811,0.0,0.875,0.04125
NUMBER,0.01109375,1,1,0.0999999999999999,0.3647058823529411,1,9,6,2,82.42704772949219,0.4030810296535492,0.0076405457394761,0.0,0.91,0.03125
NUMBER,0.01046875,1,2,0.1,0.732,1,3,5,2,74.87551879882812,0.2334576994180679,0.0051740302634603,0.0,0.91,0.04
NUMBER,0.01578125,1,1,0.1111111111111111,0.5873015873015873,1,8,5,2,122.83554077148438,0.3555854856967926,0.0080003762935688,0.0,0.88,0.034
NUMBER,0.02265625,1,1,0.1,0.4648148148148148,1,10,9,1,197.80223083496097,0.2438513189554214,0.0144977573156262,0.0,0.835,0.0375
NUMBER,0.01171875,1,2,0.1111111111111111,0.6481481481481481,1,7,4,2,81.86323547363281,0.3742155432701111,0.0061259119468688,0.0,0.925,0.0333333333333333
NUMBER,0.01359375,1,1,0.1111111111111111,0.6570048309178744,1,3,4,1,89.77153015136719,0.1411710977554321,0.005127794140596,0.0,0.89,0.065
NUMBER,0.01515625,1,1,0.0714285714285714,0.3961038961038961,1,10,5,3,125.32574462890624,0.1060558184981346,0.0093021511510693,0.0,0.92,0.026
NUMBER,0.013125,1,1,0.1111111111111111,0.5679012345679012,1,4,5,2,90.52660369873048,0.39227494597435,0.0065707257750977,0.0,0.915,0.03125
NUMBER,0.0075,1,1,0.1111111111111111,0.5333333333333333,1,4,5,2,68.37133026123047,0.3310834765434265,0.0074354313574634,0.0,0.945,0.035
NUMBER,0.018125,1,1,0.0999999999999999,0.5696969696969697,1,5,4,1,185.5738220214844,0.4103992283344269,0.0109930280536308,0.0,0.905,0.03375
NUMBER,0.01609375,1,1,0.1111111111111111,0.4534050179211469,1,14,10,2,98.18621826171876,0.2131212651729583,0.0104897240124881,0.0,0.82,0.0325
NUMBER,0.0134375,1,1,0.1111111111111111,0.5065359477124183,1,6,6,2,91.23340606689452,0.3029789924621582,0.0079848145321686,0.0,0.895,0.031
NUMBER,0.00703125,1,1,0.125,0.4296875,1,8,6,1,45.86637878417969,0.2724972367286682,0.0055219071782678,0.0,0.94,0.022
