sample_id,dark_frac,vert_strokes_count,horiz_strokes_count,aspect_ratio,compactness,num_contours,cc_count,col_peaks,row_peaks,vertical_intensity_variance,gap_depth_index,intensity_fluctuation_ratio,column_intensity_entropy,frequency_white,average_peak_width,contour_count,avg_contour_area,contour_solidity,contour_extent,contour_perimeter_ratio,hull_area_ratio,contour_complexity,aspect_ratio_mean,aspect_ratio_std,aspect_ratio_range,width_variation,height_variation,char_count_estimate,canny_edge_density,sobel_edge_density,sobel_mean_magnitude,sobel_std_magnitude,edge_direction_ratio,high_freq_ratio,hole_count,avg_cc_area,cc_area_std,avg_eccentricity,avg_euler_number,stroke_density,hog_mean,hog_std,hog_max,hog_energy,hog_feature_count,fourier_energy,fourier_symmetry,fourier_complexity
cell_r0_c0_blob_1_word_1,0.00703125,1,1,0.06666666666666667,0.67,1,1,2,1,68.53215789794922,0.2648037075996399,0.0028683170697926083,0.0,0.93,0.08,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.00953125,0.04,9.643600708678592,57.90809822789532,1.0251826502510055,0.1609186,2,6355.0,0.0,0.9871387736806146,-2.0,0.99296875,0.016630969399539147,0.0659775756222959,0.48240530328589387,11.99999999620156,2592,0,0,0
cell_r0_c0_blob_2_word_1,0.00796875,1,2,0.0625,0.595,1,1,3,1,74.22061157226562,0.4329472482204437,0.0037218845696253174,0.0,0.905,0.105,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.01328125,0.04578125,12.451385963745565,68.35667844169902,1.2619047600522548,0.18608762,2,6349.0,0.0,0.987139786265247,-5.0,0.99203125,0.02033093338838674,0.07839193274103406,0.9999999987499999,16.99999998965581,2592,0,0,0
cell_r0_c1_blob_1_word_1,0.038125,1,3,0.058823529411764705,0.6114081996434938,1,1,20,0,226.90948486328125,0.2903813123703003,0.017326233402085004,0.0,0.55,0.1,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.056875,0.180625,54.056363785406354,131.5647303964851,0.920855409670704,0.20238799,1,6156.0,0.0,0.987045317694946,-20.0,0.961875,0.0681869860421458,0.1074906444053221,0.42087517796329493,41.99999999087483,2592,0,0,0
cell_r0_c1_blob_1_word_2,0.015,1,1,0.058823529411764705,0.5982783357245337,1,1,6,1,128.05410766601562,0.22773535549640656,0.005228907943267689,0.0,0.83,0.095,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0253125,0.07796875,24.406001995279393,98.26404259242757,0.9623362656608122,0.21823405,3,6304.0,0.0,0.987144875151848,-9.0,0.985,0.029948824929401603,0.08712475080089893,0.9999999987499999,21.999999989069615,2592,0,0,0
cell_r0_c2_blob_1_word_1,0.01015625,1,1,0.045454545454545456,0.541958041958042,1,1,4,1,123.29503631591797,0.1615978181362152,0.005365158327946957,0.0,0.91,0.055,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.01859375,0.06125,16.441229925984075,80.49671396101164,1.2886053503017767,0.18172945,3,6335.0,0.0,0.9871421034776217,-2.0,0.98984375,0.021000679124035374,0.08064375931234043,0.9999999987499999,17.99999998769563,2592,0,0,0
cell_r0_c2_blob_1_word_2,0.00765625,1,1,0.07142857142857142,0.6,1,1,3,1,66.70285034179688,0.14015978574752808,0.0031813457305876845,0.0,0.93,0.08,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0090625,0.033125,10.442086391594287,65.26913287910665,0.9568898389149243,0.17159186,1,6351.0,0.0,0.9871330212176544,-1.0,0.99234375,0.016165779397234098,0.06609309498429769,0.4703643701201771,11.999999996095944,2592,0,0,0
cell_r0_c2_blob_1_word_3,0.02671875,1,2,0.052631578947368425,0.5508771929824562,1,1,11,1,188.15249633789062,0.27416324615478516,0.00919725393114227,0.0,0.725,0.285,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.03546875,0.118125,32.59657416188566,104.93720254470618,0.8638898417461038,0.20408139,4,6229.0,0.0,0.9871247879996681,-7.0,0.97328125,0.04285650765257323,0.0986782337759333,0.7822274277081904,29.999999987658803,2592,0,0,0
cell_r0_c3_blob_1_word_1,0.01609375,1,1,0.0625,0.6371527777777778,1,1,7,0,149.6990966796875,0.3260054588317871,0.008755612422874608,0.0,0.86,0.05666666666666667,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.019375,0.0690625,25.09744245550213,107.54508185962182,1.4017865662353783,0.20072052,1,6297.0,0.0,0.9871442169531659,-8.0,0.98390625,0.02728232445252664,0.07874083575240809,0.4850741474158927,17.999999995013503,2592,0,0,0
cell_r0_c3_blob_1_word_2,0.0165625,1,2,0.06666666666666667,0.6530612244897959,1,1,9,1,138.8649444580078,0.2398322969675064,0.007077717210442324,0.0,0.795,0.1125,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0259375,0.08890625,26.13205231840472,99.32463298008284,0.905980878174876,0.1904535,3,6294.0,0.0,0.9871310709448289,-9.0,0.9834375,0.03483657040144294,0.08969767343260673,0.4986750814070432,23.9999999929964,2592,0,0,0
cell_r0_c4_blob_1_word_1,0.02046875,1,1,0.05882352941176471,0.5698529411764706,1,1,8,1,140.6269989013672,0.18444012105464935,0.007203234085452767,0.0,0.8,0.07666666666666667,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0246875,0.08625,26.152972209961813,99.64856769961607,0.8709688992360244,0.198494,3,6269.0,0.0,0.9871406765359295,-6.0,0.97953125,0.034678493898026554,0.0897589066173587,0.75818783544896,23.999999992016452,2592,0,0,0
cell_r0_c4_blob_1_word_10,0.02265625,1,1,0.0625,0.6084905660377359,1,1,9,0,171.8148651123047,0.34343433380126953,0.008414463993751568,0.0,0.78,0.08333333333333334,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.029375,0.0971875,31.822812229655252,111.99825555246879,1.0742019528065592,0.2242432,2,6255.0,0.0,0.9871391686632354,-8.0,0.97734375,0.036757328263875115,0.0889278250920573,0.6685998274596731,23.99999999337109,2592,0,0,0
cell_r0_c4_blob_1_word_11,0.0509375,2,3,0.05555555555555555,0.5651709401709402,1,1,21,0,260.60382080078125,0.28848281502723694,0.01766242811653543,0.0,0.52,0.17,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0578125,0.1803125,62.357368523030935,150.16704395733078,0.8599629126863124,0.22946985,4,6074.0,0.0,0.9870080650101524,-13.0,0.9490625,0.07020254236991266,0.11657667671953845,0.9999999987499999,47.99999997836364,2592,0,0,0
cell_r0_c4_blob_1_word_12,0.04375,1,4,0.05882352941176471,0.6067774936061381,1,1,19,0,253.8660125732422,0.25757673382759094,0.01599797068301677,0.0,0.585,0.14833333333333334,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0528125,0.16265625,57.957136994732885,145.99669181654002,0.9245621540888697,0.24097025,8,6120.0,0.0,0.9870838718173052,-15.0,0.95625,0.061976972944205844,0.11118704296474896,0.6789019150537244,41.999999986697986,2592,0,0,0
cell_r0_c4_blob_1_word_13,0.00515625,1,1,0.07100591715976332,0.5576923076923077,1,1,1,1,44.6501350402832,0.40576791763305664,0.002604562858936127,0.0,0.97,0.04,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.00375,0.01875,6.499908061511876,56.455894910911596,1.4761345806693753,0.15447305,1,6367.0,0.0,0.9871386671285914,0.0,0.99484375,0.011949363599928002,0.06698389609300441,0.9999999987499999,11.999999991218475,2592,0,0,0
cell_r0_c4_blob_1_word_14,0.06515625,1,5,0.0588235294117647,0.5870429252782194,1,1,25,1,232.7927703857422,0.25395867228507996,0.024004807962461884,0.0,0.335,0.08388888888888889,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0875,0.2453125,85.71920038983296,166.08601855522835,0.8246976723087535,0.21920058,4,5983.0,0.0,0.9867804427440294,-25.0,0.93484375,0.09476351871293831,0.11902950753419843,0.41418534321095973,59.99999998585562,2592,0,0,0
cell_r0_c4_blob_1_word_15,0.030625,1,1,0.05555555555555555,0.523015873015873,1,1,11,0,190.96031188964844,0.28134241700172424,0.010286466724529588,0.0,0.71,0.068,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0353125,0.1203125,38.29010811342225,121.29975575269079,0.8501986045920562,0.22568108,7,6204.0,0.0,0.9871289740829113,-7.0,0.969375,0.044625624505061,0.0978908969642565,0.5000426127449118,29.999999991859333,2592,0,0,0
cell_r0_c4_blob_1_word_16,0.01203125,1,1,0.06666666666666667,0.64375,1,1,3,1,107.41360473632812,0.7621758580207825,0.0065171617323929966,0.0,0.89,0.04666666666666667,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.01609375,0.05953125,18.403479358250017,87.3349196914411,1.2433786225099206,0.18395084,2,6323.0,0.0,0.9871587584528212,-3.0,0.98796875,0.023777444713508823,0.07986912773046594,0.5342829593694988,17.999999992444344,2592,0,0,0
cell_r0_c4_blob_1_word_17,0.0096875,1,1,0.06666666666666667,0.6289855072463768,1,1,2,0,91.21401977539062,0.5336754322052002,0.004030103905930203,0.0,0.92,0.05,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0134375,0.04203125,13.806088712507549,76.82548024231527,1.1965845737324305,0.21034844,2,6338.0,0.0,0.9871637006773287,-1.0,0.9903125,0.016641677853629824,0.07422999117959703,0.9999999987499999,14.999999987739859,2592,0,0,0
cell_r0_c4_blob_1_word_18,0.0134375,1,1,0.0625,0.6175,1,1,3,1,140.9204864501953,0.5984414219856262,0.0073444777771868135,0.0,0.915,0.03833333333333334,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0146875,0.0478125,19.70426358852462,101.98907782911826,1.6789708766326024,0.19758956,3,6314.0,0.0,0.9871683756358381,-2.0,0.9865625,0.019388838633940364,0.07863024168284505,0.9999999987499999,16.999999987991156,2592,0,0,0
cell_r0_c4_blob_1_word_19,0.01515625,1,3,0.0625,0.6625,1,1,3,1,176.26361083984375,0.23532111942768097,0.0058982180296504325,0.0,0.87,0.14,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0184375,0.06171875,21.76809465960447,99.99775962435609,1.246181275217473,0.19828084,1,6303.0,0.0,0.9871708926226741,-5.0,0.98484375,0.022983803698295266,0.08010111864655955,0.8284097767650949,17.99999999074017,2592,0,0,0
cell_r0_c4_blob_1_word_2,0.02546875,1,1,0.06666666666666667,0.6027397260273972,1,1,14,0,154.3584442138672,0.27394959330558777,0.010760202212894225,0.0,0.7,0.07,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.03640625,0.1184375,39.23305413403257,124.55054431160094,0.818488622617405,0.2169515,5,6237.0,0.0,0.9871216629754306,-9.0,0.97453125,0.04964301068598991,0.10688526732924063,0.9999999987499999,35.99999998217652,2592,0,0,0
cell_r0_c4_blob_1_word_20,0.01796875,1,1,0.0625,0.583984375,1,3,5,1,140.61817932128906,0.4370323121547699,0.006483448881493403,0.0,0.865,0.145,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.016875,0.05671875,20.787796421976036,97.08422255917013,1.0382559836629248,0.20874009,3,2095.0,2950.758885439473,0.5633157896509915,0.3333333333333333,0.98203125,0.02384971810087587,0.07984757596780134,0.8101406917578393,17.99999999217374,2592,0,0,0
cell_r0_c4_blob_1_word_21,0.01875,1,1,0.0625,0.6458333333333334,1,1,5,1,145.1837921142578,0.24287810921669006,0.003984577540327623,0.0,0.85,0.16,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.02265625,0.07109375,24.42960489449304,102.34890707623097,0.8274483548748006,0.20783296,2,6280.0,0.0,0.9871713691639037,-5.0,0.98125,0.02675294142746962,0.07892226914858463,0.4491533827727974,17.9999999951758,2592,0,0,0
cell_r0_c4_blob_1_word_22,0.09078125,1,1,0.05555555555555556,0.5768768768768768,1,1,38,0,207.7952117919922,0.20877356827259064,0.03563995597700794,0.0,0.175,0.10166666666666666,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.10109375,0.28921875,118.2896794807173,197.51106102785528,0.9481986947363896,0.23614249,11,5819.0,0.0,0.9863129090753883,-20.0,0.90921875,0.11443151654956635,0.12117427858795791,0.48026164994754433,71.99999998280968,2592,0,0,0
cell_r0_c4_blob_1_word_23,0.00796875,1,2,0.08333333333333333,0.7575757575757576,1,1,2,1,86.90144348144531,0.4646674394607544,0.00455963407102845,0.0,0.925,0.0475,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.01,0.03890625,12.655700740023033,76.32570496745497,1.2480682460164285,0.16193262,2,6349.0,0.0,0.9871382218200427,-2.0,0.99203125,0.01717303206260567,0.07145853017161208,0.9999999987499999,13.999999991211155,2592,0,0,0
cell_r0_c4_blob_1_word_24,0.02078125,1,2,0.0625,0.6433823529411765,1,1,4,1,177.76393127441406,0.5508964657783508,0.007074074168969337,0.0,0.875,0.0725,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.02171875,0.0675,26.64605437720996,112.86247842452677,0.9499596443172883,0.22480866,2,6267.0,0.0,0.9871816546400777,-5.0,0.97921875,0.026004703761597327,0.07917196362687523,0.4725686640901734,17.999999994347483,2592,0,0,0
cell_r0_c4_blob_1_word_25,0.01890625,2,3,0.058823529411764705,0.6258169934640523,1,1,5,1,174.0488739013672,0.2979719042778015,0.006089940313481252,0.0,0.855,0.0825,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0215625,0.0709375,25.185994747485232,106.43295445293083,0.9505578808005862,0.20848939,2,6279.0,0.0,0.9871719469381244,-5.0,0.98109375,0.02691428864670903,0.07886739192620101,0.4329323841617132,17.999999995217557,2592,0,0,0
cell_r0_c4_blob_1_word_26,0.00671875,1,1,0.0625,0.46205357142857145,1,1,3,1,75.87301635742188,0.28474295139312744,0.00465214001329768,0.0,0.945,0.028333333333333335,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.011875,0.04484375,15.013640014156175,83.52265030233013,1.2623632283463813,0.19537683,2,6357.0,0.0,0.9871458212745126,-3.0,0.99328125,0.020293189275556966,0.07840171197797849,0.6773411156484037,16.99999999155742,2592,0,0,0
cell_r0_c4_blob_1_word_3,0.0159375,1,2,0.0625,0.5975609756097561,1,1,6,1,127.46739196777344,0.3312824070453644,0.0066383223794346255,0.0,0.84,0.06333333333333332,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.02265625,0.07453125,24.831634323536413,100.30430854067123,1.1328836056054765,0.20798248,6,6298.0,0.0,0.9871495754397656,-9.0,0.9840625,0.029790776682442406,0.08936423451028547,0.9999999987499999,22.999999986596748,2592,0,0,0
cell_r0_c4_blob_1_word_4,0.033125,1,4,0.049999999999999996,0.48698630136986304,1,1,12,2,221.57647705078125,0.2949065864086151,0.010470765597982002,0.0,0.7,0.06,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.04203125,0.128125,42.80591603930303,127.95954361451957,0.8431672203248726,0.19585034,5,6188.0,0.0,0.9871392076601494,-10.0,0.966875,0.0485754706812835,0.1055628251850157,0.9999999987499999,34.99999998236748,2592,0,0,0
cell_r0_c4_blob_1_word_5,0.0125,1,1,0.0625,0.6490384615384616,1,1,5,1,114.92521667480469,0.3671477437019348,0.005808068661127303,0.0,0.84,0.06333333333333332,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.020625,0.076875,21.704305232764128,89.41645547304482,1.100137107372468,0.20498005,2,6320.0,0.0,0.9871337360393712,-8.0,0.9875,0.0277555723881273,0.08334073182047452,0.9999999987499999,19.99999999027684,2592,0,0,0
cell_r0_c4_blob_1_word_6,0.005,1,1,0.07142857142857142,0.6714285714285714,1,1,3,1,53.931396484375,0.2030303031206131,0.0030857445920754486,0.0,0.925,0.085,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.00984375,0.03875,9.65093054870749,59.71324320905727,1.0143175788526138,0.16766255,2,6368.0,0.0,0.9871317807311939,-2.0,0.995,0.016155465560096723,0.06609561680404706,0.48099330692371384,11.99999999621897,2592,0,0,0
cell_r0_c4_blob_1_word_7,0.02578125,1,1,0.05555555555555556,0.5411877394636015,1,1,10,0,188.63108825683594,0.3120613098144531,0.011560468937412747,0.0,0.755,0.07125,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0296875,0.103125,36.3488162022299,124.2074290680574,1.0952184250139303,0.2228549,8,6235.0,0.0,0.9871314085764922,-6.0,0.97421875,0.041345708383876544,0.09735914953777079,0.9999999987499999,28.999999988450828,2592,0,0,0
cell_r0_c4_blob_1_word_8,0.00453125,1,1,0.07692307692307693,0.6035502958579881,1,1,1,0,35.234535217285156,0.2992580533027649,0.0019583757994259053,0.0,0.96,0.05,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.00453125,0.0221875,5.9229021635677075,47.36209433672465,1.0418884690339094,0.14386418,1,6371.0,0.0,0.9871347434218659,0.0,0.99546875,0.011963841983637315,0.06698131165838597,0.6915255029365828,11.999999991855017,2592,0,0,0
cell_r0_c4_blob_1_word_9,0.01453125,1,2,0.07142857142857142,0.6632653061224489,1,1,7,0,131.160888671875,0.17763781547546387,0.006252057085619247,0.0,0.86,0.05666666666666667,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.01921875,0.06328125,21.006300180243134,95.0829491956235,0.9467650416704456,0.19360405,3,6307.0,0.0,0.9871488466955588,-5.0,0.98546875,0.025651328453672215,0.07928716031503014,0.6155949442027376,17.999999994336534,2592,0,0,0
cell_r10_c0_blob_1_word_1,0.00109375,1,1,0.0625,0.528125,1,1,2,1,24.3062801361084,0.14416059851646423,0.002208578903333075,0.0,0.96,0.03,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.00953125,0.03578125,7.092653920901706,44.984926757285244,1.1743761610741126,0.15831147,2,6393.0,0.0,0.9871308325834183,-3.0,0.99890625,0.017114402042673907,0.06585382958496694,0.42257779912565363,11.999999996512509,2592,0,0,0
