sample_id,label,dark_frac,vert_strokes_count,horiz_strokes_count,aspect_ratio,compactness,num_contours,cc_count,col_peaks,row_peaks,vertical_intensity_variance,gap_depth_index,intensity_fluctuation_ratio,column_intensity_entropy,frequency_white,average_peak_width,contour_count,avg_contour_area,contour_solidity,contour_extent,contour_perimeter_ratio,hull_area_ratio,contour_complexity,aspect_ratio_mean,aspect_ratio_std,aspect_ratio_range,width_variation,height_variation,char_count_estimate,canny_edge_density,sobel_edge_density,sobel_mean_magnitude,sobel_std_magnitude,edge_direction_ratio,high_freq_ratio,hole_count,avg_cc_area,cc_area_std,avg_eccentricity,avg_euler_number,stroke_density,hog_mean,hog_std,hog_max,hog_energy,hog_feature_count,fourier_energy,fourier_symmetry,fourier_complexity
NUM_000,NUMBER,0.0190625,1,1,0.09999999999999999,0.5215686274509804,1,1,8,2,141.56497192382812,0.1959661841392517,0.010947531574507244,0.0,0.86,0.0275,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0246875,0.07734375,34.759928160189,139.6191691505808,1.2379812383620707,0.35268446803092957,8,6278.0,0.0,0.9871989449426817,-14.0,0.9809375,0.029638417828870417,0.09154683741972611,0.9999999987499999,23.9999999836528,2592,0,0,0
NUM_001,NUMBER,0.01546875,1,1,0.1111111111111111,0.6285714285714286,1,1,5,1,112.53964233398438,0.2518669366836548,0.007252221169760411,0.0,0.875,0.04125,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.01984375,0.054375,26.761547078874223,127.24772924475,0.9196872643120378,0.34678637981414795,3,6301.0,0.0,0.9871557859056853,-13.0,0.98453125,0.024942027059894494,0.07951314185882893,0.516973862250018,17.999999993971834,2592,0,0,0
NUM_002,NUMBER,0.01421875,1,1,0.09999999999999999,0.4,1,1,4,2,106.517822265625,0.3092755973339081,0.007947459021086626,0.0,0.89,0.0375,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.01375,0.0484375,28.607558202855394,143.1379583257713,0.7848983539026018,0.32374805212020874,4,6309.0,0.0,0.9872278402376324,-7.0,0.98578125,0.01851785650689328,0.08124982109963681,0.9999999987499999,17.99999998415882,2592,0,0,0
NUM_003,NUMBER,0.01390625,1,2,0.1111111111111111,0.5718954248366013,1,1,7,2,102.13420104980469,0.3556091785430908,0.00829622730850806,0.0,0.89,0.032,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.02125,0.05125,27.07862761384148,131.34888342331234,1.0993373511001796,0.34557148814201355,3,6311.0,0.0,0.9871753013810367,-15.0,0.98609375,0.022342188737001178,0.08028244542930514,0.5773502689490632,17.99999999280641,2592,0,0,0
NUM_004,NUMBER,0.01609375,1,1,0.1111111111111111,0.562962962962963,1,1,10,2,117.97254943847656,0.2700701951980591,0.010495107360760404,0.0,0.865,0.036000000000000004,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.0284375,0.06828125,32.72888918367771,136.42228946474452,1.042142021405231,0.38720256090164185,4,6297.0,0.0,0.9871554306769234,-22.0,0.98390625,0.03305622126518597,0.09036894096896678,0.5464264420202714,23.999999992032908,2592,0,0,0
NUM_005,NUMBER,0.02296875,1,1,0.09999999999999999,0.4714285714285714,1,1,12,2,164.9503173828125,0.21922209858894348,0.013818376469768247,0.0,0.815,0.03642857142857143,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.03890625,0.093125,45.465532226706834,161.89943948124798,1.0609793970625976,0.36724644899368286,8,6253.0,0.0,0.987207888247463,-20.0,0.97703125,0.03600140934073839,0.10138033631383142,0.9999999987499999,29.999999978099922,2592,0,0,0
NUM_006,NUMBER,0.01171875,1,4,0.09999999999999999,0.5793103448275863,1,1,7,2,90.14863586425781,0.35253599286079407,0.008513322442005943,0.0,0.91,0.027000000000000003,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.01921875,0.0490625,22.50062586169856,113.5231114611992,1.3593637395313554,0.3464594781398773,3,6325.0,0.0,0.9871405161718727,-14.0,0.98828125,0.02337982176211102,0.07998642619877146,0.5527718382069049,17.9999999928335,2592,0,0,0
NUM_007,NUMBER,0.0253125,1,2,0.09999999999999999,0.4714285714285714,1,1,13,2,206.2505340576172,0.2705666124820709,0.017269047078415183,0.0,0.84,0.03214285714285715,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.02890625,0.0928125,52.03629457562897,184.78222059180464,1.097335697596954,0.3451453447341919,8,6238.0,0.0,0.9872370705016036,-22.0,0.9746875,0.03541137145788382,0.10158793647635368,0.9999999987499999,29.99999997920653,2592,0,0,0
NUM_008,NUMBER,0.01984375,1,3,0.1,0.7,1,1,7,2,180.25633239746094,0.10999907553195953,0.009580533637403887,0.0,0.875,0.035,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.02421875,0.06328125,35.00889444967898,151.01558217419566,0.9865359832124106,0.3502205014228821,2,6273.0,0.0,0.9871827285486784,-17.0,0.98015625,0.025595940143102014,0.07930505841744522,0.4419124293269403,17.999999994710286,2592,0,0,0
NUM_009,NUMBER,0.01921875,1,6,0.1,0.7028571428571428,1,1,6,2,162.82518005371094,0.19933052361011505,0.010530562819377426,0.0,0.875,0.035,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.02640625,0.06,29.070318781065854,130.32641593693583,0.9320132228633181,0.3626626133918762,1,6277.0,0.0,0.9871617785509413,-18.0,0.98078125,0.02578508500078918,0.07924376211461528,0.48181924355351197,17.99999999515611,2592,0,0,0
NUM_010,NUMBER,0.01,1,2,0.09090909090909091,0.4628099173553719,1,1,4,2,70.68241882324219,0.2668125331401825,0.005415931519008514,0.0,0.94,0.028333333333333335,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.01203125,0.0384375,17.953980057935233,103.15142800794986,1.1836684182530963,0.33196452260017395,3,6336.0,0.0,0.9871418366817384,-6.0,0.99,0.017079742578427277,0.0741304217304737,0.9999999987499999,14.999999988196526,2592,0,0,0
NUM_011,NUMBER,0.02234375,1,2,0.1,0.46,1,1,7,3,165.1200714111328,0.13345691561698914,0.011949179351835187,0.0,0.83,0.03833333333333334,1,6169.0,1.0,0.96390625,0.07456638028853947,1.0,2.729549842619959,6.25,0.0,0.0,0.0,0.0,1,0.02859375,0.0746875,39.922768443660274,159.6970336599709,1.0091573914587402,0.3495404124259949,7,6257.0,0.0,0.9872343904221152,-14.0,0.97765625,0.028568285665999116,0.09188640980189412,0.9999999987499999,23.999999981639554,2592,0,0,0
